nodefrom,nodeto,voltage
5.0,196.0,132.0
29.0,1074.0,132.0
38.0,348.0,132.0
60.0,433.0,132.0
60.0,624.0,132.0
60.0,442.0,275.0
60.0,710.0,275.0
60.0,245.0,275.0
60.0,447.0,400.0
96.0,433.0,132.0
96.0,507.0,132.0
122.0,1118.0,275.0
143.0,388.0,132.0
146.0,342.0,132.0
146.0,981.0,132.0
155.0,196.0,132.0
167.0,281.0,132.0
184.0,717.0,132.0
196.0,504.0,132.0
196.0,751.0,132.0
217.0,698.0,275.0
220.0,1199.0,132.0
220.0,944.0,132.0
245.0,1053.0,132.0
270.0,698.0,132.0
270.0,944.0,132.0
270.0,1227.0,132.0
281.0,606.0,275.0
325.0,1087.0,132.0
325.0,245.0,275.0
325.0,522.0,275.0
342.0,800.0,132.0
345.0,504.0,132.0
345.0,778.0,132.0
348.0,388.0,132.0
372.0,698.0,132.0
406.0,803.0,132.0
406.0,659.0,132.0
421.0,1118.0,132.0
421.0,671.0,132.0
439.0,242.0,132.0
439.0,366.0,132.0
442.0,447.0,275.0
447.0,1118.0,275.0
492.0,680.0,132.0
522.0,1047.0,275.0
624.0,710.0,132.0
624.0,803.0,132.0
659.0,507.0,132.0
659.0,758.0,132.0
659.0,698.0,275.0
698.0,900.0,275.0
698.0,1074.0,275.0
698.0,466.0,275.0
698.0,880.0,275.0
710.0,67.0,275.0
710.0,439.0,275.0
710.0,300.0,275.0
717.0,981.0,132.0
748.0,1074.0,132.0
778.0,1074.0,132.0
800.0,981.0,132.0
800.0,1087.0,132.0
880.0,900.0,275.0
900.0,1199.0,132.0
916.0,26.0,132.0
916.0,281.0,132.0
916.0,11.0,132.0
1071.0,457.0,132.0
1074.0,466.0,275.0
1118.0,447.0,400.0
1199.0,1227.0,132.0
35.0,765.0,132.0
47.0,106.0,132.0
47.0,336.0,132.0
50.0,106.0,132.0
70.0,382.0,132.0
85.0,1208.0,132.0
88.0,735.0,132.0
106.0,291.0,132.0
308.0,106.0,132.0
106.0,1038.0,132.0
106.0,308.0,275.0
115.0,424.0,132.0
115.0,874.0,132.0
149.0,297.0,132.0
187.0,304.0,132.0
193.0,351.0,132.0
193.0,543.0,132.0
199.0,304.0,275.0
223.0,304.0,275.0
223.0,391.0,275.0
223.0,397.0,275.0
226.0,416.0,275.0
229.0,416.0,275.0
232.0,498.0,132.0
232.0,735.0,132.0
232.0,416.0,400.0
235.0,809.0,275.0
239.0,647.0,275.0
239.0,1008.0,275.0
239.0,382.0,400.0
267.0,765.0,275.0
267.0,815.0,275.0
277.0,823.0,132.0
285.0,1157.0,132.0
297.0,519.0,132.0
297.0,732.0,132.0
297.0,647.0,275.0
297.0,990.0,275.0
304.0,969.0,132.0
311.0,815.0,132.0
315.0,424.0,132.0
315.0,1011.0,132.0
315.0,1212.0,400.0
318.0,1038.0,132.0
318.0,1161.0,132.0
321.0,1173.0,275.0
339.0,1212.0,275.0
351.0,1102.0,132.0
357.0,495.0,132.0
357.0,1008.0,132.0
360.0,621.0,132.0
360.0,797.0,132.0
391.0,809.0,275.0
397.0,1035.0,275.0
400.0,823.0,275.0
400.0,1035.0,275.0
400.0,1215.0,275.0
400.0,1218.0,275.0
403.0,641.0,132.0
403.0,823.0,132.0
416.0,543.0,400.0
416.0,790.0,400.0
427.0,543.0,132.0
436.0,285.0,400.0
475.0,877.0,132.0
495.0,382.0,132.0
495.0,577.0,132.0
510.0,826.0,132.0
513.0,797.0,132.0
513.0,941.0,132.0
513.0,1161.0,132.0
516.0,1161.0,275.0
519.0,1077.0,132.0
525.0,560.0,132.0
540.0,297.0,275.0
543.0,577.0,132.0
567.0,790.0,132.0
584.0,1212.0,132.0
597.0,603.0,132.0
597.0,685.0,400.0
597.0,1035.0,400.0
603.0,691.0,132.0
603.0,960.0,132.0
647.0,1173.0,275.0
674.0,1212.0,132.0
677.0,765.0,275.0
685.0,688.0,275.0
685.0,1035.0,400.0
797.0,1161.0,275.0
809.0,1208.0,275.0
823.0,874.0,132.0
823.0,1212.0,275.0
910.0,987.0,275.0
1008.0,910.0,275.0
919.0,1164.0,275.0
941.0,1161.0,132.0
1008.0,647.0,275.0
1008.0,1035.0,400.0
1008.0,1105.0,400.0
1008.0,436.0,400.0
1008.0,1208.0,400.0
1035.0,232.0,400.0
1035.0,416.0,400.0
1035.0,1208.0,400.0
1038.0,1161.0,132.0
1041.0,1212.0,132.0
1105.0,285.0,400.0
1212.0,668.0,132.0
2.0,430.0,400.0
8.0,922.0,275.0
8.0,1115.0,275.0
8.0,1126.0,275.0
14.0,137.0,275.0
14.0,1224.0,275.0
20.0,618.0,400.0
20.0,1068.0,400.0
23.0,385.0,400.0
23.0,638.0,400.0
41.0,202.0,400.0
41.0,430.0,400.0
55.0,938.0,275.0
55.0,1167.0,400.0
55.0,1230.0,400.0
64.0,205.0,275.0
64.0,1196.0,275.0
73.0,260.0,275.0
73.0,454.0,275.0
73.0,855.0,275.0
76.0,1136.0,400.0
76.0,1154.0,400.0
79.0,174.0,275.0
79.0,738.0,275.0
82.0,454.0,275.0
82.0,704.0,275.0
82.0,893.0,275.0
93.0,1031.0,275.0
93.0,1122.0,275.0
102.0,745.0,400.0
102.0,839.0,400.0
109.0,450.0,400.0
109.0,745.0,400.0
112.0,128.0,400.0
112.0,935.0,400.0
112.0,886.0,400.0
119.0,409.0,275.0
119.0,701.0,275.0
119.0,793.0,275.0
119.0,871.0,400.0
125.0,755.0,275.0
125.0,1004.0,275.0
125.0,1024.0,275.0
128.0,845.0,400.0
128.0,886.0,400.0
128.0,993.0,400.0
134.0,1108.0,275.0
134.0,1139.0,275.0
137.0,208.0,275.0
137.0,1090.0,275.0
137.0,1097.0,275.0
137.0,1080.0,275.0
137.0,644.0,275.0
137.0,842.0,275.0
1084.0,137.0,400.0
140.0,478.0,400.0
140.0,775.0,400.0
140.0,1234.0,400.0
158.0,886.0,400.0
158.0,1136.0,400.0
161.0,329.0,275.0
161.0,893.0,275.0
161.0,1186.0,275.0
164.0,812.0,275.0
164.0,329.0,400.0
170.0,975.0,400.0
174.0,489.0,400.0
177.0,1130.0,275.0
181.0,1004.0,275.0
181.0,655.0,400.0
181.0,904.0,400.0
190.0,329.0,400.0
190.0,755.0,400.0
202.0,430.0,400.0
202.0,768.0,400.0
205.0,1234.0,275.0
208.0,590.0,275.0
211.0,1126.0,275.0
211.0,615.0,400.0
211.0,928.0,400.0
211.0,1062.0,400.0
211.0,1177.0,400.0
214.0,998.0,400.0
214.0,1167.0,400.0
248.0,174.0,400.0
254.0,531.0,400.0
254.0,650.0,400.0
254.0,1027.0,400.0
254.0,1154.0,400.0
260.0,812.0,275.0
260.0,932.0,275.0
263.0,288.0,400.0
263.0,385.0,400.0
263.0,787.0,400.0
263.0,1133.0,400.0
274.0,963.0,275.0
329.0,564.0,400.0
329.0,862.0,400.0
329.0,932.0,400.0
329.0,954.0,400.0
329.0,1190.0,400.0
333.0,394.0,400.0
333.0,1084.0,400.0
363.0,839.0,400.0
375.0,720.0,275.0
375.0,1203.0,275.0
378.0,1221.0,400.0
385.0,1240.0,400.0
394.0,793.0,400.0
394.0,948.0,400.0
394.0,1084.0,400.0
394.0,462.0,400.0
409.0,1055.0,275.0
409.0,462.0,275.0
409.0,701.0,275.0
413.0,1024.0,275.0
413.0,781.0,275.0
413.0,1142.0,275.0
413.0,1148.0,400.0
413.0,998.0,400.0
419.0,1058.0,400.0
430.0,932.0,400.0
450.0,1068.0,400.0
450.0,745.0,400.0
450.0,768.0,400.0
454.0,564.0,400.0
454.0,633.0,400.0
454.0,787.0,400.0
462.0,1084.0,275.0
462.0,793.0,275.0
462.0,1001.0,275.0
472.0,1112.0,275.0
472.0,489.0,275.0
478.0,925.0,400.0
481.0,745.0,275.0
481.0,571.0,275.0
489.0,1031.0,400.0
528.0,662.0,400.0
528.0,694.0,400.0
531.0,1094.0,400.0
531.0,1027.0,400.0
537.0,1058.0,400.0
537.0,650.0,400.0
546.0,714.0,275.0
554.0,896.0,275.0
564.0,1167.0,275.0
564.0,812.0,400.0
571.0,1190.0,275.0
571.0,1031.0,400.0
574.0,612.0,275.0
581.0,1151.0,275.0
581.0,849.0,275.0
581.0,858.0,400.0
590.0,1090.0,400.0
590.0,1154.0,400.0
594.0,1044.0,275.0
594.0,152.0,400.0
594.0,775.0,400.0
600.0,1068.0,400.0
609.0,742.0,275.0
612.0,830.0,400.0
618.0,775.0,400.0
630.0,723.0,275.0
630.0,775.0,275.0
633.0,1177.0,400.0
633.0,726.0,400.0
633.0,893.0,400.0
633.0,954.0,400.0
638.0,984.0,275.0
638.0,836.0,275.0
638.0,1234.0,275.0
638.0,1148.0,275.0
644.0,720.0,275.0
650.0,842.0,400.0
650.0,1154.0,400.0
655.0,1170.0,400.0
662.0,871.0,400.0
662.0,170.0,400.0
665.0,738.0,275.0
665.0,925.0,275.0
694.0,833.0,400.0
701.0,1094.0,275.0
704.0,1001.0,275.0
704.0,855.0,275.0
707.0,862.0,275.0
707.0,793.0,275.0
714.0,913.0,275.0
714.0,1100.0,400.0
714.0,849.0,400.0
720.0,1230.0,275.0
723.0,1234.0,400.0
726.0,984.0,400.0
738.0,1058.0,275.0
742.0,738.0,400.0
755.0,852.0,400.0
761.0,1024.0,275.0
768.0,922.0,400.0
775.0,852.0,400.0
775.0,787.0,400.0
793.0,972.0,275.0
793.0,913.0,400.0
819.0,1136.0,275.0
819.0,907.0,275.0
819.0,978.0,400.0
830.0,1055.0,275.0
833.0,1196.0,400.0
842.0,1230.0,275.0
842.0,907.0,275.0
849.0,978.0,275.0
849.0,966.0,400.0
849.0,868.0,400.0
855.0,1014.0,275.0
858.0,1186.0,275.0
868.0,1151.0,400.0
886.0,904.0,400.0
886.0,957.0,400.0
886.0,1058.0,400.0
1062.0,1240.0,400.0
896.0,1133.0,400.0
896.0,1112.0,400.0
904.0,1237.0,275.0
904.0,1145.0,400.0
907.0,1080.0,275.0
928.0,904.0,400.0
932.0,1133.0,400.0
932.0,1027.0,400.0
932.0,1190.0,400.0
935.0,1044.0,400.0
938.0,1094.0,275.0
948.0,1108.0,275.0
948.0,1024.0,275.0
957.0,1170.0,400.0
963.0,378.0,275.0
975.0,1177.0,400.0
984.0,975.0,400.0
998.0,833.0,275.0
998.0,1108.0,400.0
1017.0,1136.0,275.0
1017.0,1122.0,275.0
1020.0,1151.0,400.0
1024.0,1055.0,400.0
1058.0,1084.0,400.0
1062.0,1136.0,400.0
1080.0,1062.0,275.0
1084.0,1183.0,275.0
1090.0,1224.0,275.0
1094.0,1224.0,275.0
1094.0,1142.0,400.0
1112.0,1094.0,400.0
1122.0,1130.0,275.0
1130.0,1151.0,275.0
1154.0,1177.0,400.0
1167.0,1154.0,400.0
1196.0,1177.0,275.0
1230.0,1203.0,400.0
