Population,Easting,Northing
0.3-0.45,277200.13688128314,64999.5608485828
<0.15,320119.11975931516,717092.7878614786
0.15-0.3,302500.140744223,166099.8355851685
<0.15,204959.64652637453,705012.5152441239
0.15-0.3,445172.455415981,394545.25080522854
<0.15,264592.13044615334,870974.2448889274
<0.15,250201.8225985781,125174.68530834734
0.3-0.45,493120.09214804287,197102.95928420778
<0.15,200492.2509578475,707499.5741013113
<0.15,362053.6710624992,741490.2024364459
<0.15,217547.6625815248,713969.6173379108
<0.15,215992.390036374,576998.6274036157
<0.15,122255.60219941929,861102.2037804463
0.15-0.3,334961.46948066994,98977.03718193134
<0.15,236487.59968336392,621156.2989562495
<0.15,295436.2851374617,668742.111587061
<0.15,289892.87916457676,681508.8977240298
0.3-0.45,546906.2017831481,182564.9355988573
<0.15,250766.34037007243,844658.673161183
0.45-0.6,530535.9841526906,165437.70908530726
<0.15,304241.9381215859,847162.3575533264
<0.15,395161.7169499858,653788.8033721175
0.3-0.45,426300.2960937422,276499.6899242305
0.15-0.3,519661.66528615495,338546.8852603824
0.15-0.3,329380.8303933774,385985.5830292911
0.3-0.45,383619.2854239011,268248.6351475089
<0.15,292317.0721233269,655621.5170488176
<0.15,291588.8262930769,657504.1024212171
0.15-0.3,429994.7598163845,583071.978688529
<0.15,295597.20009044185,819424.2953862017
0.15-0.3,301624.2988772817,373566.13472157257
0.45-0.6,524011.89098133706,120992.21109796246
<0.15,284001.2472880739,680951.2041633186
0.3-0.45,454114.47708239313,109731.82583238129
0.3-0.45,577491.0599791443,221617.3820201616
<0.15,251154.99809982657,667846.2449959144
0.15-0.3,409034.59117609967,434909.7347259958
<0.15,282660.9636758025,692459.0709695615
0.3-0.45,391371.61031699454,390918.4450356914
0.3-0.45,609945.7634340652,246063.88283949863
<0.15,366035.5900072969,758882.9108661617
0.3-0.45,536807.0438074642,198029.64568318683
0.15-0.3,443180.1401756607,389600.56640737
0.45-0.6,464396.2488567484,159999.53645604372
<0.15,162669.95514321755,824330.6928432958
<0.15,289354.1649399604,904951.2828789741
<0.15,309265.18868765736,670533.7686377269
0.15-0.3,332272.6654784593,135800.21861226409
<0.15,308280.24075811007,723705.2275155848
0.15-0.3,557885.9001082692,267203.23122404306
0.3-0.45,392652.96403164003,304367.0698166527
0.3-0.45,402741.37176649726,295045.93517933117
<0.15,179404.5434874949,638524.5823366109
0.3-0.45,615954.0127276563,159426.53364852173
0.15-0.3,336803.6164693039,374976.7617537873
0.15-0.3,320575.35430451017,178017.71363605926
0.3-0.45,373057.7556041556,393157.0553219635
<0.15,239647.87680072692,923216.3076498543
<0.15,262603.4522970037,664823.1097863314
0.3-0.45,394599.2470441282,349299.6241855304
<0.15,321469.96614060074,569789.324632318
<0.15,335735.6999285819,731786.777728324
<0.15,259943.0049918008,664693.426145958
0.15-0.3,365647.3062717991,80590.6884086529
0.45-0.6,516925.90814970864,161900.36190005403
0.15-0.3,440899.68268547824,369900.114875075
0.15-0.3,310097.4186689409,193806.87704322586
0.3-0.45,532181.9648909286,183028.41882043565
<0.15,356572.2957457885,835907.2320297494
<0.15,394131.5838020865,805482.0761662617
<0.15,265532.2122810526,660871.933500534
<0.15,298207.78732996737,613473.0437760069
<0.15,298713.22417019925,620200.4224686209
<0.15,282340.315002094,637431.5368256122
<0.15,274049.0625815105,663857.8856888128
<0.15,339736.05949315644,675265.9863062795
<0.15,251940.30362953254,823829.6948555929
<0.15,289735.82530521054,958740.3027057706
0.15-0.3,328401.79572370107,370756.23333394714
<0.15,234771.56060392727,863871.1125579868
0.15-0.3,481294.1700545543,378919.61984237307
<0.15,321811.32936774305,739180.4150665868
0.3-0.45,436539.9764480384,284362.65892368415
0.3-0.45,456027.69140078756,201672.842189877
<0.15,246329.48114101213,619691.505050143
<0.15,390836.96586078574,804475.1406101846
0.15-0.3,504462.0169832611,434986.5581004943
<0.15,251972.83485044993,661179.1470809474
<0.15,182752.9927467075,650247.4807593331
<0.15,366382.8012224682,669254.388458987
0.3-0.45,453496.3858666192,196000.47933737718
<0.15,276456.29539820575,674766.8890896204
<0.15,336072.03608227364,714014.0464567569
<0.15,318271.88782156166,668450.1425562189
<0.15,315141.96933615435,852711.0112299522
<0.15,262102.57394265657,662432.113602037
<0.15,282372.0133388369,684493.7315295222
<0.15,260442.4615505756,610955.8761973538
<0.15,230959.63577187678,672388.2371627823
<0.15,289530.880817043,695268.9167725765
<0.15,324592.78340595914,673341.4037546807
<0.15,298125.1387309589,966650.7927083124
0.3-0.45,423507.0481405232,319546.29141750565
0.15-0.3,466563.38837251044,427094.51548667473
<0.15,300846.0229683356,669288.519565372
<0.15,253294.87809009323,671671.837618711
<0.15,316183.1749040606,930246.5654198765
<0.15,341556.8394852034,730355.2337612357
<0.15,128128.49434125988,846576.5255818638
<0.15,298993.2684684344,575303.4419728033
<0.15,364357.98355880665,676102.5701519569
<0.15,347354.01672756526,657149.2684334507
<0.15,309943.74577907665,689472.3145776358
0.15-0.3,607283.7608434623,116863.42192757997
<0.15,259426.88098967553,822391.956100834
<0.15,216641.4772386248,679637.0782446458
<0.15,388623.483236793,813920.8427391296
0.3-0.45,518352.3392137572,179461.73549115896
0.45-0.6,516100.1964987293,258799.84143840754
<0.15,379485.0281819135,641670.1333251962
0.3-0.45,475299.7538914609,225899.50112241064
<0.15,135526.55234669993,851046.7856815611
<0.15,270411.5180298893,666990.0974689694
0.15-0.3,457500.0182403856,424500.1089436413
<0.15,262663.1174305469,656795.2420884928
<0.15,264417.8260917773,651683.6057564543
<0.15,245869.69044242526,663441.7061839505
<0.15,321278.20470656996,864659.5254649235
0.15-0.3,411759.01236999955,422000.8133329938
0.45-0.6,514671.62155668443,197049.20992003346
<0.15,294291.65805348015,617173.8041120642
0.3-0.45,453000.1427175334,300136.91128619603
<0.15,277205.9440119453,758943.9249577828
<0.15,244992.33426549606,670613.9322214713
<0.15,328403.0715892688,585492.0165687231
0.15-0.3,301134.0938149921,97431.77274720758
<0.15,270054.4414227795,829352.6249048207
<0.15,358371.47387738427,659283.5972131717
<0.15,251940.30362953254,823829.6948555929
<0.15,232141.42250201723,829248.350740925
<0.15,235823.87085594737,808347.2567445562
0.3-0.45,447099.9867129563,102699.56177811584
0.3-0.45,402000.1746433509,261599.82055866648
<0.15,203613.05990471644,724227.5065459016
0.15-0.3,448099.90437572496,425099.9709312832
<0.15,383496.8752768646,785556.3127789292
<0.15,382322.4187455957,781114.5972771302
0.3-0.45,354299.82622686756,386299.6364371202
<0.15,257521.63894755807,665598.3305187196
0.3-0.45,478279.1478841676,150741.43438598496
<0.15,389649.1442885471,568652.8124652525
<0.15,398669.9270824161,866264.2283421219
0.3-0.45,352385.12133320095,379424.69923147716
<0.15,212233.13007824172,774127.6891612334
<0.15,351619.2058079788,635205.4602828467
<0.15,277025.8436532364,628583.9844075469
<0.15,256059.23595644452,658468.4434557365
<0.15,339084.797851185,729889.1669623607
<0.15,321083.4394634403,838260.5377231519
<0.15,220583.92911525842,557124.4264261667
<0.15,321293.6872605728,691349.8156737991
<0.15,325599.1366904143,702235.8110517984
<0.15,322957.3971627821,672015.484469005
<0.15,287628.50722080196,928070.6139786474
<0.15,255231.5698905483,664678.0386075808
0.15-0.3,588853.5569520991,175347.49057837826
0.45-0.6,486899.71930887736,261300.53243360855
<0.15,290983.65576448326,742692.6445615004
0.15-0.3,522500.07056505093,409300.0929324547
<0.15,294748.0069393448,680049.5145172422
<0.15,332946.51138461777,571330.1378666265
<0.15,456226.2028152802,520388.76421177434
<0.15,231056.42543725646,861806.4473141832
0.3-0.45,535746.8331029151,186321.15344238782
<0.15,228768.45886559525,594459.6771521615
<0.15,256366.76584720542,661877.8143682566
0.3-0.45,419500.2842768618,292499.57576069434
<0.15,294499.9627464783,588343.2575990651
