transformer_count,Easting,Northing
1,277200.13688128314,64999.5608485828
1,320119.11975931516,717092.7878614786
2,302500.140744223,166099.8355851685
1,204959.64652637453,705012.5152441239
3,445172.455415981,394545.25080522854
1,264592.13044615334,870974.2448889274
1,250201.8225985781,125174.68530834734
1,493120.09214804287,197102.95928420778
1,200492.2509578475,707499.5741013113
1,362053.6710624992,741490.2024364459
1,217547.6625815248,713969.6173379108
2,215992.390036374,576998.6274036157
1,122255.60219941929,861102.2037804463
1,334961.46948066994,98977.03718193134
1,236487.59968336392,621156.2989562495
1,295436.2851374617,668742.111587061
1,289892.87916457676,681508.8977240298
6,546906.2017831481,182564.9355988573
6,250766.34037007243,844658.673161183
6,530535.9841526906,165437.70908530726
1,304241.9381215859,847162.3575533264
1,395161.7169499858,653788.8033721175
2,426300.2960937422,276499.6899242305
1,519661.66528615495,338546.8852603824
2,329380.8303933774,385985.5830292911
2,383619.2854239011,268248.6351475089
1,292317.0721233269,655621.5170488176
1,291588.8262930769,657504.1024212171
4,429994.7598163845,583071.978688529
1,295597.20009044185,819424.2953862017
1,301624.2988772817,373566.13472157257
3,524011.89098133706,120992.21109796246
2,284001.2472880739,680951.2041633186
1,454114.47708239313,109731.82583238129
1,577491.0599791443,221617.3820201616
1,251154.99809982657,667846.2449959144
3,409034.59117609967,434909.7347259958
1,282660.9636758025,692459.0709695615
2,391371.61031699454,390918.4450356914
3,609945.7634340652,246063.88283949863
1,366035.5900072969,758882.9108661617
2,536807.0438074642,198029.64568318683
1,443180.1401756607,389600.56640737
3,464396.2488567484,159999.53645604372
1,162669.95514321755,824330.6928432958
1,289354.1649399604,904951.2828789741
1,309265.18868765736,670533.7686377269
1,332272.6654784593,135800.21861226409
1,308280.24075811007,723705.2275155848
2,557885.9001082692,267203.23122404306
2,392652.96403164003,304367.0698166527
4,402741.37176649726,295045.93517933117
2,179404.5434874949,638524.5823366109
1,615954.0127276563,159426.53364852173
4,336803.6164693039,374976.7617537873
1,320575.35430451017,178017.71363605926
4,373057.7556041556,393157.0553219635
1,239647.87680072692,923216.3076498543
1,262603.4522970037,664823.1097863314
3,394599.2470441282,349299.6241855304
1,321469.96614060074,569789.324632318
1,335735.6999285819,731786.777728324
1,259943.0049918008,664693.426145958
1,365647.3062717991,80590.6884086529
2,516925.90814970864,161900.36190005403
2,440899.68268547824,369900.114875075
1,310097.4186689409,193806.87704322586
3,532181.9648909286,183028.41882043565
1,356572.2957457885,835907.2320297494
1,394131.5838020865,805482.0761662617
1,265532.2122810526,660871.933500534
2,298207.78732996737,613473.0437760069
1,298713.22417019925,620200.4224686209
1,282340.315002094,637431.5368256122
1,274049.0625815105,663857.8856888128
2,339736.05949315644,675265.9863062795
1,251940.30362953254,823829.6948555929
1,289735.82530521054,958740.3027057706
2,328401.79572370107,370756.23333394714
1,234771.56060392727,863871.1125579868
1,481294.1700545543,378919.61984237307
1,321811.32936774305,739180.4150665868
2,436539.9764480384,284362.65892368415
3,456027.69140078756,201672.842189877
2,246329.48114101213,619691.505050143
1,390836.96586078574,804475.1406101846
4,504462.0169832611,434986.5581004943
2,251972.83485044993,661179.1470809474
4,182752.9927467075,650247.4807593331
2,366382.8012224682,669254.388458987
2,453496.3858666192,196000.47933737718
1,276456.29539820575,674766.8890896204
1,336072.03608227364,714014.0464567569
1,318271.88782156166,668450.1425562189
1,315141.96933615435,852711.0112299522
2,262102.57394265657,662432.113602037
1,282372.0133388369,684493.7315295222
1,260442.4615505756,610955.8761973538
2,230959.63577187678,672388.2371627823
1,289530.880817043,695268.9167725765
1,324592.78340595914,673341.4037546807
2,298125.1387309589,966650.7927083124
2,423507.0481405232,319546.29141750565
2,466563.38837251044,427094.51548667473
1,300846.0229683356,669288.519565372
1,253294.87809009323,671671.837618711
1,316183.1749040606,930246.5654198765
1,341556.8394852034,730355.2337612357
1,128128.49434125988,846576.5255818638
2,298993.2684684344,575303.4419728033
1,364357.98355880665,676102.5701519569
1,347354.01672756526,657149.2684334507
1,309943.74577907665,689472.3145776358
1,607283.7608434623,116863.42192757997
1,259426.88098967553,822391.956100834
1,216641.4772386248,679637.0782446458
1,388623.483236793,813920.8427391296
2,518352.3392137572,179461.73549115896
1,516100.1964987293,258799.84143840754
2,379485.0281819135,641670.1333251962
2,475299.7538914609,225899.50112241064
1,135526.55234669993,851046.7856815611
1,270411.5180298893,666990.0974689694
1,457500.0182403856,424500.1089436413
1,262663.1174305469,656795.2420884928
1,264417.8260917773,651683.6057564543
1,245869.69044242526,663441.7061839505
1,321278.20470656996,864659.5254649235
2,411759.01236999955,422000.8133329938
4,514671.62155668443,197049.20992003346
1,294291.65805348015,617173.8041120642
2,453000.1427175334,300136.91128619603
3,277205.9440119453,758943.9249577828
1,244992.33426549606,670613.9322214713
1,328403.0715892688,585492.0165687231
2,301134.0938149921,97431.77274720758
1,270054.4414227795,829352.6249048207
1,358371.47387738427,659283.5972131717
1,251940.30362953254,823829.6948555929
1,232141.42250201723,829248.350740925
3,235823.87085594737,808347.2567445562
1,447099.9867129563,102699.56177811584
4,402000.1746433509,261599.82055866648
1,203613.05990471644,724227.5065459016
5,448099.90437572496,425099.9709312832
1,383496.8752768646,785556.3127789292
2,382322.4187455957,781114.5972771302
2,354299.82622686756,386299.6364371202
1,257521.63894755807,665598.3305187196
4,478279.1478841676,150741.43438598496
1,389649.1442885471,568652.8124652525
1,398669.9270824161,866264.2283421219
3,352385.12133320095,379424.69923147716
1,212233.13007824172,774127.6891612334
1,351619.2058079788,635205.4602828467
1,277025.8436532364,628583.9844075469
1,256059.23595644452,658468.4434557365
1,339084.797851185,729889.1669623607
1,321083.4394634403,838260.5377231519
1,220583.92911525842,557124.4264261667
1,321293.6872605728,691349.8156737991
1,325599.1366904143,702235.8110517984
1,322957.3971627821,672015.484469005
1,287628.50722080196,928070.6139786474
1,255231.5698905483,664678.0386075808
1,588853.5569520991,175347.49057837826
3,486899.71930887736,261300.53243360855
1,290983.65576448326,742692.6445615004
1,522500.07056505093,409300.0929324547
2,294748.0069393448,680049.5145172422
1,332946.51138461777,571330.1378666265
1,456226.2028152802,520388.76421177434
1,231056.42543725646,861806.4473141832
4,535746.8331029151,186321.15344238782
1,228768.45886559525,594459.6771521615
1,256366.76584720542,661877.8143682566
3,419500.2842768618,292499.57576069434
1,294499.9627464783,588343.2575990651
5,338386.52540160826,561126.6051000548
1,445737.80015800043,534151.3482060907
1,349383.52948834066,615767.0488290065
2,438572.5643886675,545827.4332369154
1,231747.96876333145,684068.0612427144
2,341800.0552111141,459900.283002018
2,480700.0339773725,370799.8215209958
3,321000.0532138879,145799.46999910127
1,218552.04622011472,651154.5943112654
1,517199.72880748543,416700.02600881434
1,220347.79325739582,653694.1186704901
1,218872.4645430622,651326.0368966147
2,549884.3386203239,172639.39480253472
3,356399.8542647748,489299.7084891775
1,328607.12948565284,183723.73423906422
2,194016.53731658476,59131.17590742221
1,313532.12558767153,684123.4420741071
2,268032.2958589037,841926.2621064181
1,231609.54110590613,717945.3608115487
3,366799.6742171653,185800.48701424903
2,365600.73707693926,304044.97402847704
6,504311.4451681185,183731.6135011688
1,243309.64414168432,664068.3285289973
1,436201.1794194582,381552.5533485677
1,327334.3869383283,666985.7009764471
4,482299.7034559301,411900.07163155096
4,376356.1659307546,404669.98096473725
3,343909.0864811148,850407.0200673454
4,590799.8697534263,166899.9224236536
3,343841.9112959849,397367.1833989723
1,255685.74406171852,670210.0362834382
1,256920.38042981012,733897.716502962
1,249303.10619462695,670583.9338865365
2,223206.72697333188,576169.4597481478
1,219283.51915291965,762008.1100951566
3,245276.88220732543,634510.3990273136
1,243376.96632719645,636081.9153786297
1,231642.1810655245,644417.593694637
1,580800.1373769642,171999.99585350993
3,377099.6844863732,814294.4622846113
3,426648.06807181274,434468.0525522765
2,399194.29800809454,281523.31119308644
1,433732.83887107833,459987.14525945403
1,265211.8076214694,839255.8983322732
5,456158.96293456934,519310.959509325
1,258578.6127030212,904609.785097967
2,506439.47888588335,170543.7535807141
2,240900.21989964924,62899.97963037755
4,329528.3008330789,348321.5043660618
1,338238.84995962935,702137.3276965029
1,306199.7729111229,669007.1620497282
1,285234.8224089169,643489.9273743795
2,338692.25975262455,391746.31445729913
3,555600.1851863763,176399.51692083018
2,467499.78370471275,113499.55811115299
1,347064.93523487146,751734.6726046044
1,337460.163199833,732569.4717830811
2,392057.2475395672,374627.75374072336
1,370800.78051164054,863384.2601929402
1,278507.7458980094,186389.91920055635
1,223708.18835879109,586053.6477747196
3,407499.83090960153,105299.57822807139
1,229804.18816555908,608629.7536946379
3,389699.6524541722,165999.68540956802
1,343600.57845264266,731095.6024274137
2,524099.813298194,192499.63784085575
1,228703.3610446051,808347.2263749037
2,399899.9947872659,189800.5309959519
1,306111.3694097228,605273.9876286438
2,448408.391654206,429233.40543906484
2,319677.77517294954,691101.4678408946
3,316947.94718238496,951739.4368911542
1,289785.2628444013,855269.9552417847
1,202098.75019998173,720434.4136373394
1,278802.66487260046,660367.9730376843
2,410235.9333936392,289922.79765302676
2,259632.22651864932,611569.7199070827
2,434155.75281891844,390094.6528972441
2,245036.1441654125,659940.0313582668
1,240560.34647193903,564367.8225340223
4,534815.0313609496,178008.87878674676
2,562059.6516049651,172452.18588748918
2,510419.55594111054,179042.64312146493
2,572399.6793741212,111900.50365048784
1,435271.51971645514,383680.4866789906
3,621799.8952760983,302300.54368211556
3,441145.6696248343,522125.56760450045
2,436204.88943828456,115918.82050911884
3,398099.74186256743,293799.7962391032
1,434897.17460275016,554187.2983109573
2,398500.3350075894,288999.8142014518
1,240524.93564281933,850364.0058912057
2,464132.6202754015,451678.49126505386
1,378519.4268159441,433256.4754601631
1,249136.22451319726,663282.108247337
1,255172.2575798735,666462.2489886893
1,412125.356657418,842632.8568387381
1,411724.51917996607,846499.5406160746
1,545800.3500901089,228399.4585215596
1,193399.82555983443,202400.293914888
3,385900.07815819484,295399.58957468404
1,255888.45489347956,367893.21766987146
2,391730.52113835816,809260.0627433814
7,350156.847727973,427922.87005678937
2,437100.90914563107,389478.7473434674
1,330003.97101714474,673821.2359751839
1,456972.81664433505,453498.2506912595
1,191345.04428739453,686518.9632154851
1,259082.87446535568,666734.0621749449
1,283045.4050956855,183258.76719546685
2,351008.9317220523,391863.5621800459
1,315524.6993648185,212904.33749330085
3,450200.034610863,329799.83482242306
3,579945.5569666638,190826.92514082417
2,541628.063452004,189726.66852686787
1,328768.83127849095,695326.9531178391
1,394550.46434835374,801941.482214065
3,385803.1325342037,413979.9074095304
1,351900.83595286554,380032.8298578633
1,405845.59208977583,317669.7455787808
2,538823.458295835,208575.62232089357
2,224285.8583680243,642702.2882605003
1,516301.20333754085,428770.18087337154
1,449296.4039015291,523702.399342163
1,259056.13365886742,658592.7819066586
2,353625.56950306316,182227.08377283596
2,608399.9762876249,138199.5805130002
1,434887.9370902085,386616.50552357465
1,257230.45526866283,897413.0014607094
1,353314.97219927574,312546.3499876178
1,326132.4077859978,675333.0491692494
1,318864.9835692866,671055.1621694101
2,647291.2842786926,263596.2923692097
7,526941.7620553856,182494.7130046413
2,433405.0458553831,431381.86313138553
2,381797.6291612152,391630.08269905054
1,335462.3075754799,668782.4225535154
