node_number,longitude,latitude,Mar-89,11years,22years,33years,55years,110years,1000years,10000years,100000years,1000000years
2,-3.73183,50.47192,31.97233954,8.533417424,25.34127632,29.23870451,33.58054822,39.02863488,55.40486719,72.14878141,88.8990901,105.6493988
5,-3.29375,56.33943,16.36937342,4.368985765,12.97436537,14.96979199,17.1927529,19.98209413,28.3664872,36.93912806,45.51504279,54.09095752
8,-3.40251,51.38554,18.7692289,5.009507193,14.87649082,17.16445983,19.71332111,22.91159771,32.52519676,42.35464193,52.18784095,62.02103997
11,-5.145416667,56.19764167,10.97825791,2.930097036,8.701367219,10.03961686,11.53046428,13.40115943,19.02422313,24.7735368,30.52504612,36.27655544
14,-4.5444,57.45677,5.188535875,1.384820225,4.112433534,4.744916058,5.449519229,6.333645743,8.991213818,11.70845006,14.426724,17.14499795
17,-1.321106,53.445746,2.203060458,0.587996836,1.746145719,2.014698789,2.313874399,2.689275901,3.817683467,4.971426229,6.125609602,7.279792976
20,-4.2742,57.7081,3.892702743,1.038962362,3.085356194,3.559876658,4.088505691,4.751822238,6.745664583,8.784273009,10.82365998,12.86304694
23,-4.13651,51.00573,46.05994223,12.29339858,36.50711021,42.12181717,48.37675732,56.22537148,79.81727388,103.9388656,128.0696694,152.2004731
26,-0.656433,51.665495,7.279493064,1.942896699,5.769726202,6.657096407,7.645651565,8.886077183,12.61463353,16.42690405,20.24063046,24.05435688
29,-5.21917,56.2181,7.920164642,2.113891943,6.277522495,7.242990565,8.318548924,9.668144979,13.72485331,17.87264353,22.02201779,26.17139204
32,-2.61904,56.56383,16.07359883,4.290043528,12.73993443,14.69930613,16.88210085,19.62104209,27.85393941,36.27168312,44.69264155,53.11359997
35,-4.949,56.283,9.929384868,2.650152821,7.870030446,9.080422462,10.42883293,12.12080011,17.20663104,22.40664989,27.60865463,32.81065936
38,-4.88222,55.0533,32.23067636,8.602367521,25.54603408,29.47495353,33.85187938,39.34398664,55.85253907,72.73174428,89.61739563,106.503047
41,-6.645,57.5544,4.424780478,1.18097391,3.507081007,4.046461747,4.647346936,5.40132953,7.667702091,9.984959627,12.30310212,14.62124461
44,-2.924427778,50.786875,15.26980067,4.075509799,12.10284401,13.96423271,16.03787164,18.63984568,26.46103758,34.45783219,42.45768076,50.45752933
47,-4.58739,55.45686,26.07112852,6.958384202,20.66397647,23.84204703,27.38250629,31.82502659,45.17865862,58.83210862,72.49077286,86.14943709
