node_number,longitude,latitude,Mar-89,11years,22years,33years,55years,110years,1000years,10000years,100000years,1000000years
2,-3.73183,50.47192,29.22665382,7.800593906,23.16504582,26.72777492,30.69675451,35.67697633,50.64686841,65.95286702,81.26471097,96.57655492
5,-3.29375,56.33943,15.35752222,4.098922682,12.17237211,14.04445407,16.13000559,18.74692738,26.61305026,34.65578465,42.70159054,50.74739644
8,-3.40251,51.38554,18.97286026,5.063856403,15.03788904,17.35068071,19.92719513,23.16017052,32.87806954,42.81415646,52.75403795,62.69391945
11,-5.145416667,56.19764167,12.25034546,3.269617203,9.709623811,11.20294092,12.86653784,14.9539967,21.22862365,27.64412956,34.06208555,40.48004154
14,-1.32135,53.445746,2.435744361,0.65010017,1.930570981,2.227488218,2.558262303,2.973313142,4.220901403,5.496500726,6.772587197,8.048673669
17,-4.2742,57.7081,4.902413821,1.308454249,3.885653195,4.48325744,5.149005237,5.984376552,8.495392911,11.06278703,13.63116163,16.19953624
20,-4.13651,51.0064,41.53371116,11.08534751,32.91961947,37.98257886,43.62285684,50.70020122,71.97376808,93.72497262,115.4844839,137.2439952
23,-0.655,51.665,7.292934595,1.946484244,5.78037996,6.669388687,7.659769205,8.902485261,12.63792636,16.45723621,20.27800464,24.09877308
26,-5.21917,56.2181,8.24029205,2.199333948,6.531255479,7.53574708,8.654778741,10.05892451,14.27960209,18.59504304,22.91213205,27.22922106
29,-2.61904,56.56383,20.90596599,5.579802323,16.57006864,19.1185059,21.95753608,25.51991268,36.22794846,47.17640285,58.12903843,69.08167402
32,-4.949,56.283,13.2535674,3.537377139,10.50477752,12.12038739,13.92022184,16.17862973,22.96710695,29.90800019,36.85154416,43.79508812
35,-4.88222,55.0533,34.48810446,9.204875081,27.33527159,31.53937153,36.22285611,42.09962912,59.76443622,77.82585653,95.89417446,113.9624924
38,-6.645,57.5544,4.382465154,1.16967995,3.473541881,4.007764383,4.602903151,5.349675214,7.594373865,9.889470867,12.18544436,14.48141786
41,-2.924,50.7867,16.36829779,4.368698681,12.97351283,14.96880833,17.19162317,19.98078111,28.36462324,36.9367008,45.51205201,54.08740323
44,-4.58739,55.45686,21.64036659,5.775813843,17.15215456,19.79011525,22.72887703,26.4163955,37.50059126,48.83365125,60.1710393,71.50842737
47,-3.67388,55.9004,18.59206109,4.962221106,14.73606762,17.00243987,19.52724177,22.69532898,32.21818267,41.95484507,51.69522588,61.43560669
50,-3.76771,56.013815,8.237849955,2.198682153,6.529319874,7.533513784,8.652213808,10.05594344,14.27537019,18.58953221,22.9053418,27.2211514
55,0.11613,51.5229,19.32676781,5.158314329,15.31839617,17.67432916,20.29890423,23.59218547,33.49135594,43.61278424,53.7380779,63.86337157
60,-4.4898,57.46757,30.77821034,8.214704341,24.39480952,28.14667336,32.32635432,37.57096137,53.3355607,69.45410946,85.57881386,101.7035183
64,-0.126,51.373,19.54334421,5.216118569,15.49005462,17.87238828,20.52637442,23.85656027,33.86666118,44.10151054,54.34026857,64.57902661
67,-3.5997,57.5045,8.026604672,2.142300787,6.361886863,7.340329973,8.430342887,9.798076324,13.90930324,18.1128361,22.31797429,26.52311248
70,-2.0787,55.7774,49.63186892,13.24674582,39.3382193,45.38834413,52.12835193,60.58562239,86.00706565,111.9992754,138.0014115,164.0035477
73,-1.615,52.3859,24.66313168,6.582589847,19.54799817,22.55443393,25.90368721,30.10628485,42.7387409,55.65482296,68.57583765,81.49685235
76,-0.2212,52.931,17.94129027,4.788530373,14.22026667,16.40730995,18.84373717,21.90093303,31.09046191,40.48631562,49.8857576,59.28519958
79,-3.06273,53.366,19.79647448,5.283679038,15.69068567,18.10387591,20.79223714,24.1655564,34.30531062,44.67272431,55.04409729,65.41547027
82,-2.2417,52.3121,28.43685342,7.58979618,22.53905003,26.00550246,29.86722715,34.71286698,49.2782233,64.17060344,79.06867096,93.96673848
85,-3.718533333,55.78187778,11.52030551,3.07476954,9.130994146,10.53531939,12.09977688,14.06283693,19.96353741,25.99672141,32.03220947,38.06769753
88,-3.730888889,55.79862222,28.42944189,7.58781804,22.53317564,25.9987246,29.85944281,34.70381971,49.26537984,64.15387856,79.04806317,93.94224779
93,-1.531,55.1411,91.44322647,24.40619715,72.4779013,83.62483061,96.04282076,111.6247466,158.4619671,206.3507849,254.2578912,302.1649976
96,-3.732108333,57.25354167,15.93611901,4.253350165,12.63096793,14.57358084,16.7377058,19.45322048,27.61570064,35.96144616,44.31037892,52.65931167
99,-3.47587,53.24996,17.30785935,4.619467661,13.71820932,15.82803738,18.17844468,21.12770391,29.99278947,39.05691541,48.12450293,57.19209045
102,-0.235,50.975,24.25286171,6.473088791,19.22281819,22.17924203,25.47278065,29.60546829,42.02778406,54.72900774,67.43508199,80.14115625
106,-3.861916667,56.00741667,18.08845714,4.827809212,14.33691113,16.54189406,18.99830654,22.08057964,31.34548738,40.81841239,50.29495509,59.7714978
109,-1.2321,50.88455,23.64029451,6.309594605,18.73729743,21.61904933,24.82940132,28.85770751,40.96626636,53.34668859,65.73183889,78.11698919
112,0.5764,51.8649,22.7724971,6.077979476,18.0494812,20.8254486,23.9179537,27.79838721,39.46246022,51.38841696,63.31892819,75.24943943
115,-4.381,55.8807,5.31375173,1.418240337,4.211679622,4.859425957,5.581033442,6.486496738,9.208200374,11.99101216,14.77488669,17.55876122
119,-1.86428,53.8104,32.26995605,8.612851271,25.57716717,29.51087481,33.89313484,39.39193536,55.92060685,72.82038283,89.72661281,106.6328428
122,-3.888444444,56.11042778,20.5212422,5.477119545,16.26513657,18.766676,21.55346069,25.05028036,35.56126062,46.30823516,57.05931395,67.81039275
125,-2.13128,53.415,3.785854467,1.010444557,3.000668251,3.46216391,3.976282947,4.621392548,6.560507206,8.54315919,10.52656835,12.5099775
128,1.062026,52.073123,53.17598623,14.19267072,42.14728668,48.6294394,55.85073833,64.91192639,92.14866653,119.9969305,147.8558297,175.7147289
131,-2.55655,56.72038,4.282998177,1.143132214,3.394704356,3.916801833,4.498432986,5.228255876,7.422007542,9.665013688,11.90887643,14.15273918
134,-0.02332,51.6644,11.83152671,3.15783448,9.377668072,10.81993118,12.42665251,14.44274466,20.50285264,26.69902318,32.89756003,39.09609688
137,-1.35202,53.40147,3.070910302,0.81962596,2.434003505,2.808347471,3.22537709,3.748660206,5.321580462,6.929816187,8.538666095,10.147516
140,-1.077,51.33545,14.41925041,3.848497933,11.42869787,13.1864045,15.1445387,17.60157897,24.98711903,32.53848047,40.09272576,47.64697105
143,-5.9358,57.2479,5.724145261,1.52777437,4.536957534,5.234730841,6.012069767,6.98746412,9.919371322,12.9171062,15.9159859,18.9148656
146,-3.8747,58.0199,11.96205892,3.192673527,9.481127902,10.93930288,12.56375049,14.60208533,20.72905191,26.99358216,33.26050484,39.52742751
149,-3.4534,55.9193,13.54855854,3.616110275,10.7385875,12.39015678,14.23005103,16.53872541,23.47829709,30.5736772,37.67176702,44.76985685
152,-2.969,51.11747,6.009539431,1.603946074,4.763160953,5.49572381,6.311819265,7.335844784,10.41393088,13.56112668,16.70952439,19.8579221
155,-3.4875,56.39667,14.07475488,3.756552077,11.15565072,12.87136334,14.78271505,17.18105328,24.39014273,31.76109186,39.13485594,46.50862003
158,0.313,52.2803,24.87050872,6.637938778,19.71236521,22.74408022,26.12149531,30.35943,43.09810456,56.12278998,69.1524495,82.18210903
161,-2.11,52.637,5.634916543,1.503959225,4.466234852,5.153131178,5.918352845,6.878542624,9.764746877,12.71575267,15.66788545,18.62001823
164,-1.961,52.55325,12.84250958,3.427665808,10.17897309,11.74447501,13.48848781,15.67685145,22.25478485,28.98040712,35.70859789,42.43678867
167,-5.50231,55.59024,21.62616846,5.772024362,17.14090112,19.77713105,22.71396473,26.39906384,37.47598732,48.80161174,60.1315614,71.46151107
170,1.096,51.293,40.76397689,10.87990543,32.30952808,37.27865686,42.81440493,49.76058659,70.63989555,91.98799025,113.3442377,134.7004853
174,-2.949,53.268,25.54245289,6.817280676,20.24494816,23.35857317,26.82723827,31.17967224,44.26251661,57.63909919,71.02079026,84.40248134
177,-3.1455,51.4955,8.789520341,2.345922979,6.966573823,8.038016352,9.231633215,10.72936748,15.2313598,19.8344316,24.43926131,29.04409102
181,-2.407,53.4345,12.35303009,3.297023732,9.791011652,11.29684602,12.97438751,15.07934384,21.40656585,27.87584771,34.34760018,40.81935265
184,-4.7277,58.1686,20.1254733,5.371488824,15.95145014,18.40474533,21.13778461,24.56716526,34.87543268,45.41514305,55.95887852,66.50261399
187,-4.19661,55.85696,8.08530113,2.157966872,6.408409675,7.394007883,8.491991777,9.86972709,14.01101833,18.24529053,22.48117979,26.71706906
190,-2.082,53.04094,12.81239297,3.419627684,10.15510267,11.71693337,13.45685633,15.6400881,22.20259578,28.91244597,35.62485865,42.33727133
193,-3.229666667,55.01642778,5.397845032,1.440684839,4.278331972,4.936329282,5.669356637,6.589149431,9.353925656,12.1807771,15.00870811,17.83663913
196,-3.0448,56.4738,3.977169362,1.061506503,3.152304436,3.637121381,4.177220981,4.85493064,6.892036787,8.974880382,11.05851941,13.14215844
199,-4.23901,55.85503,13.8044569,3.684409547,10.94141254,12.62417584,14.49882108,16.85110054,23.92174336,31.15113744,38.38329241,45.61544739
202,-2.487,50.624,28.15684634,7.515062288,22.31711641,25.74943598,29.57313571,34.37106233,48.79299902,63.53873945,78.29011125,93.04148306
205,-0.3226,51.34417,17.42701355,4.651269918,13.81265094,15.9370039,18.30359234,21.27315545,30.19927179,39.32579879,48.45581119,57.5858236
208,-1.38885,53.22458,13.33985149,3.560406363,10.57316629,12.19929419,14.01084602,16.28395671,23.11662864,30.10270887,37.09145707,44.08020527
211,-3.300438889,51.63585833,19.10165951,5.098232924,15.13997533,17.46846762,20.06247298,23.31739577,33.10126577,43.10480485,53.11216428,63.1195237
214,-0.0958,51.5307,15.8142497,4.220823245,12.53437431,14.46213135,16.60970646,19.30445461,27.40451331,35.68643587,43.97152129,52.25660672
217,-2.724516667,57.41145833,12.01275597,3.206204569,9.521310384,10.98566534,12.6169976,14.66397122,20.81690483,27.10798513,33.40146799,39.69495085
220,-2.0986,57.1402,7.371151371,1.967360301,5.842374577,6.740917929,7.741920285,8.997964479,12.77346821,16.63374018,20.49548639,24.3572326
223,-4.1479,55.82231,10.91641995,2.913592485,8.652354453,9.983066045,11.46551587,13.32567383,18.91706413,24.63399326,30.35310568,36.07221809
226,-3.60908,55.40459,4.542538259,1.212403461,3.600415824,4.154151238,4.771027933,5.545076453,7.871764549,10.25069184,12.63052763,15.01036343
229,-3.60355,55.46512,19.74053126,5.268747793,15.64634508,18.05271584,20.73347998,24.09726651,34.20836662,44.54648284,54.88854717,65.23061151
232,-3.8697,55.6162,6.586169954,1.757848761,5.220198306,6.023052423,6.917454303,8.039737664,11.41317391,14.86235112,18.31284556,21.76334
235,-4.01344,55.85142,10.54198593,2.813656044,8.355578046,9.64064613,11.07224782,12.86860222,18.26820741,23.78904544,29.31199187,34.8349383
239,-2.967,55.9666,76.00016126,20.28444304,60.23772782,69.50214747,79.82296937,92.77339686,131.7006794,171.5019639,211.3184484,251.1349329
242,-4.457705556,57.28102778,6.874719765,1.834862705,5.448902886,6.286931225,7.220518169,8.391970418,11.91320188,15.51349262,19.11515831,22.716824
245,-3.893836111,58.50283611,21.94101863,5.856057873,17.39045137,20.06506154,23.04465187,26.78340144,38.02159119,49.51210264,61.00700231,72.50190198
248,-3.074,53.229,18.27536194,4.877694103,14.48505188,16.7128185,19.19461265,22.30873433,31.66937471,41.24018177,50.81464389,60.38910602
251,-4.7692,57.6344,38.01625855,10.14653941,30.13168652,34.76586844,39.92847635,46.40644681,65.87837443,85.78748904,105.7042069,125.6209248
