number,num_trans,lat,lon
0,,50.47192,-3.73183
1,,50.47192,-3.73183
2,1.0,50.47192,-3.73183
3,,56.33943,-3.29375
4,,56.33943,-3.29375
5,1.0,56.33943,-3.29375
6,,51.38554,-3.40251
7,,51.38554,-3.40251
8,2.0,51.38554,-3.40251
9,,56.19764166666666,-5.145416666666667
10,,56.19764166666666,-5.145416666666667
11,1.0,56.19764166666666,-5.145416666666667
12,,57.45677,-4.5444
13,,57.45677,-4.5444
14,1.0,57.45677,-4.5444
15,,53.445746,-1.32135
16,,53.445746,-1.32135
17,3.0,53.445746,-1.32135
18,,57.7081,-4.2742
19,,57.7081,-4.2742
20,1.0,57.7081,-4.2742
21,,51.0064,-4.13651
22,,51.0064,-4.13651
23,1.0,51.0064,-4.13651
24,,51.665,-0.655
25,,51.665,-0.655
26,1.0,51.665,-0.655
27,,56.2181,-5.21917
28,,56.2181,-5.21917
29,1.0,56.2181,-5.21917
30,,56.56383,-2.61904
31,,56.56383,-2.61904
32,1.0,56.56383,-2.61904
33,,56.283,-4.949
34,,56.283,-4.949
35,1.0,56.283,-4.949
36,,55.0533,-4.88222
37,,55.0533,-4.88222
38,2.0,55.0533,-4.88222
39,,57.5544,-6.645
40,,57.5544,-6.645
41,1.0,57.5544,-6.645
42,,50.7867,-2.924
43,,50.7867,-2.924
44,1.0,50.7867,-2.924
45,,55.45686,-4.58739
46,,55.45686,-4.58739
47,1.0,55.45686,-4.58739
48,,55.9004,-3.67388
49,,55.9004,-3.67388
50,1.0,55.9004,-3.67388
51,,56.013815,-3.76771
52,,56.013815,-3.76771
53,1.0,56.013815,-3.76771
54,,51.5229,0.11613
55,,51.5229,0.11613
56,,51.5229,0.11613
57,,51.5229,0.11613
58,6.0,51.5229,0.11613
59,,57.46757,-4.4898
60,,57.46757,-4.4898
61,,57.46757,-4.4898
62,,57.46757,-4.4898
63,6.0,57.46757,-4.4898
64,,51.373,-0.126
65,,51.373,-0.126
66,,51.373,-0.126
67,5.0,51.373,-0.126
68,,57.1157,-4.937
69,,57.1157,-4.937
70,1.0,57.1157,-4.937
71,,57.5045,-3.5997
72,,57.5045,-3.5997
73,1.0,57.5045,-3.5997
74,,55.7774,-2.0787
75,,55.7774,-2.0787
76,1.0,55.7774,-2.0787
77,,52.3859,-1.615
78,,52.3859,-1.615
79,2.0,52.3859,-1.615
80,,57.2234,-4.6652
81,,57.2234,-4.6652
82,1.0,57.2234,-4.6652
83,,52.931,-0.2212
84,,52.931,-0.2212
85,1.0,52.931,-0.2212
86,,53.366,-3.06273
87,,53.366,-3.06273
88,2.0,53.366,-3.06273
89,,52.3121,-2.2417
90,,52.3121,-2.2417
91,2.0,52.3121,-2.2417
92,,55.36688,-4.11034
93,,55.36688,-4.11034
94,2.0,55.36688,-4.11034
95,,55.1039,-4.0506
96,,55.1039,-4.0506
97,1.0,55.1039,-4.0506
98,,57.52188,-2.9451
99,,57.52188,-2.9451
100,,57.52188,-2.9451
101,3.0,57.52188,-2.9451
102,,55.78187777777778,-3.7185333333333332
103,,55.78187777777778,-3.7185333333333332
104,1.0,55.78187777777778,-3.7185333333333332
105,,55.79862222222222,-3.730888888888889
106,,55.79862222222222,-3.730888888888889
107,1.0,55.79862222222222,-3.730888888888889
108,,55.1411,-1.531
109,,55.1411,-1.531
110,,55.1411,-1.531
111,,55.1411,-1.531
112,4.0,55.1411,-1.531
113,,57.2535416666666,-3.73210833333333
114,,57.2535416666666,-3.73210833333333
115,1.0,57.2535416666666,-3.73210833333333
116,,53.24996,-3.47587
117,,53.24996,-3.47587
118,1.0,53.24996,-3.47587
119,,50.975,-0.235
120,,50.975,-0.235
121,3.0,50.975,-0.235
122,,56.007416666666664,-3.8619166666666667
123,,56.007416666666664,-3.8619166666666667
124,,56.007416666666664,-3.8619166666666667
125,2.0,56.007416666666664,-3.8619166666666667
126,,50.88455,-1.2321
127,,50.88455,-1.2321
128,1.0,50.88455,-1.2321
129,,51.8649,0.5764
130,,51.8649,0.5764
131,1.0,51.8649,0.5764
132,,55.8807,-4.381
133,,55.8807,-4.381
134,1.0,55.8807,-4.381
135,,53.8104,-1.86428
136,,53.8104,-1.86428
137,,53.8104,-1.86428
138,3.0,53.8104,-1.86428
139,,56.11042777777778,-3.8884444444444446
140,,56.11042777777778,-3.8884444444444446
141,1.0,56.11042777777778,-3.8884444444444446
142,,53.415,-2.13128
143,,53.415,-2.13128
144,2.0,53.415,-2.13128
145,,52.073123,1.062026
146,,52.073123,1.062026
147,3.0,52.073123,1.062026
148,,56.72038,-2.55655
149,,56.72038,-2.55655
150,1.0,56.72038,-2.55655
151,,51.6644,-0.02332
152,,51.6644,-0.02332
153,2.0,51.6644,-0.02332
154,,53.40147,-1.35202
155,,53.40147,-1.35202
156,1.0,53.40147,-1.35202
157,,51.33545,-1.077
158,,51.33545,-1.077
159,3.0,51.33545,-1.077
160,,57.2479,-5.9358
161,,57.2479,-5.9358
162,1.0,57.2479,-5.9358
163,,58.0199,-3.8747
164,,58.0199,-3.8747
165,1.0,58.0199,-3.8747
166,,55.9193,-3.4534
167,,55.9193,-3.4534
168,1.0,55.9193,-3.4534
169,,51.11747,-2.969
170,,51.11747,-2.969
171,1.0,51.11747,-2.969
172,,56.39667,-3.4875
173,,56.39667,-3.4875
174,1.0,56.39667,-3.4875
175,,52.2803,0.313
176,,52.2803,0.313
177,2.0,52.2803,0.313
178,,52.637,-2.11
179,,52.637,-2.11
180,2.0,52.637,-2.11
181,,52.55325,-1.961
182,,52.55325,-1.961
183,,52.55325,-1.961
184,3.0,52.55325,-1.961
185,,55.59024,-5.50231
186,,55.59024,-5.50231
187,2.0,55.59024,-5.50231
188,,55.14348,-4.18929
189,,55.14348,-4.18929
190,1.0,55.14348,-4.18929
191,,57.452,-2.8493
192,,57.452,-2.8493
193,1.0,57.452,-2.8493
194,,51.293,1.096
195,,51.293,1.096
196,1.0,51.293,1.096
197,,53.268,-2.949
198,,53.268,-2.949
199,,53.268,-2.949
200,4.0,53.268,-2.949
201,,51.4955,-3.1455
202,,51.4955,-3.1455
203,1.0,51.4955,-3.1455
204,,53.4345,-2.407
205,,53.4345,-2.407
206,,53.4345,-2.407
207,4.0,53.4345,-2.407
208,,58.1686,-4.7277
209,,58.1686,-4.7277
210,1.0,58.1686,-4.7277
211,,55.85696,-4.19661
212,,55.85696,-4.19661
213,1.0,55.85696,-4.19661
214,,55.5924777777777,-3.97673888888888
215,,55.5924777777777,-3.97673888888888
216,1.0,55.5924777777777,-3.97673888888888
217,,57.15399,-4.9367
218,,57.15399,-4.9367
219,1.0,57.15399,-4.9367
220,,53.04094,-2.082
221,,53.04094,-2.082
222,3.0,53.04094,-2.082
223,,55.01642777777778,-3.2296666666666667
224,,55.01642777777778,-3.2296666666666667
225,1.0,55.01642777777778,-3.2296666666666667
226,,56.4738,-3.0448
227,,56.4738,-3.0448
228,1.0,56.4738,-3.0448
229,,55.85503,-4.23901
230,,55.85503,-4.23901
231,1.0,55.85503,-4.23901
232,,50.624,-2.487
233,,50.624,-2.487
234,1.0,50.624,-2.487
235,,51.34417,-0.3226
236,,51.34417,-0.3226
237,2.0,51.34417,-0.3226
238,,53.22458,-1.38885
239,,53.22458,-1.38885
240,2.0,53.22458,-1.38885
241,,51.63585833333333,-3.300438888888889
242,,51.63585833333333,-3.300438888888889
243,1.0,51.63585833333333,-3.300438888888889
244,,51.5307,-0.0958
245,,51.5307,-0.0958
246,3.0,51.5307,-0.0958
